#{"t_start": 1575708652.8255258, "env_id": "MountainCarContinuous-v0"}
r,l,t
-51.241469,999,4.894961
-43.728144,999,6.974671
-37.628761,999,9.123342
-33.359239,999,11.370944
-27.551526,999,13.522613
-22.511776,999,15.67228
-19.9683,999,17.833941
-17.800288,999,19.977613
-14.303179,999,22.148261
-12.204002,999,24.339905
-10.879845,999,26.470579
-8.549895,999,29.232513
-8.600397,999,31.502772
-7.76926,999,33.72026
-6.486882,999,36.416903
-6.365735,999,38.730102
-5.703746,999,40.978037
-5.518053,999,43.247054
-5.663648,999,45.449041
-5.345048,999,47.633328
